model	repository	revision	upstream_path	pinned_url	sha256	licence
trex	adrien-matta/nptool	415ad50066f715ca1de312da1202201f9381e87e	NPSimulation/Detectors/TRex/TRex_Miniball.gdml	https://raw.githubusercontent.com/adrien-matta/nptool/415ad50066f715ca1de312da1202201f9381e87e/NPSimulation/Detectors/TRex/TRex_Miniball.gdml	818c3bfeff67f320bc3be6454265a0c6260c89d26adf250141268236bf1aaa30	GPL-2.0
lbnf	SIREN-Generator/SIREN-data	4880d76084ab83887e47fb88dfdc6caa851cc86f	detectors/SBN/v1/LBNF/g4lbnf.gdml	https://raw.githubusercontent.com/SIREN-Generator/SIREN-data/4880d76084ab83887e47fb88dfdc6caa851cc86f/detectors/SBN/v1/LBNF/g4lbnf.gdml	f0e0f32cc3cf45fb1a783d84d470a5d2caa06b7ba667648482f8e4137d507cdc	No repository licence found; reference/view only
l200	LorisSteinhart/Muon-on-L200	fec0bcd4c2ca3e2b4bf9b4bdb28623dbe11c52b6	src/l200_gerdaSetup.gdml	https://raw.githubusercontent.com/LorisSteinhart/Muon-on-L200/fec0bcd4c2ca3e2b4bf9b4bdb28623dbe11c52b6/src/l200_gerdaSetup.gdml	e03bc40e88179ae106f35ec71e1f08d1e5bc8133c915801c8c8bb2eea8dcb4d8	No repository licence found; reference/view only
bigtes	nyuad-astroparticle/tes-geant	3096b425d513863cc6dbfb150da9cb7b4b2fb185	geometry/configBigTES.gdml	https://raw.githubusercontent.com/nyuad-astroparticle/tes-geant/3096b425d513863cc6dbfb150da9cb7b4b2fb185/geometry/configBigTES.gdml	72f0ec499dd42f1a1d6a2b04333da6ee7fcaa8ed3ff2e13d70505ce48288cb61	No repository licence found; reference/view only
bigtes	nyuad-astroparticle/tes-geant	3096b425d513863cc6dbfb150da9cb7b4b2fb185	geometry/cryostat/Cryostat_Aluminum.gdml	https://raw.githubusercontent.com/nyuad-astroparticle/tes-geant/3096b425d513863cc6dbfb150da9cb7b4b2fb185/geometry/cryostat/Cryostat_Aluminum.gdml	230fb3429c0ad9d00ad72cde2def83a3982718b8f14a1ff394db25570f68a6cb	No repository licence found; reference/view only
bigtes	nyuad-astroparticle/tes-geant	3096b425d513863cc6dbfb150da9cb7b4b2fb185	geometry/bigBoxTes/copperBox.gdml	https://raw.githubusercontent.com/nyuad-astroparticle/tes-geant/3096b425d513863cc6dbfb150da9cb7b4b2fb185/geometry/bigBoxTes/copperBox.gdml	2d44151e3e86e769a959f524fb2e752307d6b4cdd01124900ad384f804c21dab	No repository licence found; reference/view only
bigtes	nyuad-astroparticle/tes-geant	3096b425d513863cc6dbfb150da9cb7b4b2fb185	geometry/bigBoxTes/tesE.gdml	https://raw.githubusercontent.com/nyuad-astroparticle/tes-geant/3096b425d513863cc6dbfb150da9cb7b4b2fb185/geometry/bigBoxTes/tesE.gdml	f51ea96a72b959f2ff65341e4c6531aa76cfba1e0513621dea03332e795ae338	No repository licence found; reference/view only
bigtes	nyuad-astroparticle/tes-geant	3096b425d513863cc6dbfb150da9cb7b4b2fb185	geometry/copperPlate/copperPlate.gdml	https://raw.githubusercontent.com/nyuad-astroparticle/tes-geant/3096b425d513863cc6dbfb150da9cb7b4b2fb185/geometry/copperPlate/copperPlate.gdml	c8aff525ec4e6039869753e10a845c63026e569fe795ddfcad61448e09976ab7	No repository licence found; reference/view only
bigtes	nyuad-astroparticle/tes-geant	3096b425d513863cc6dbfb150da9cb7b4b2fb185	geometry/magneticShield/magneticShield.gdml	https://raw.githubusercontent.com/nyuad-astroparticle/tes-geant/3096b425d513863cc6dbfb150da9cb7b4b2fb185/geometry/magneticShield/magneticShield.gdml	6b9eab5219144a4a3a213e817c8b57a23b078c4500e8bedf305ccc4bff441a28	No repository licence found; reference/view only
neutron-camera	gboon18/neutron_camera	dd034fd0e84443266dea32e94d3041f3d9376efa	NeutronCameraExport_EJ-276D_ORB1B_cathodeclub_neutron-worldVOL.gdml	https://raw.githubusercontent.com/gboon18/neutron_camera/dd034fd0e84443266dea32e94d3041f3d9376efa/NeutronCameraExport_EJ-276D_ORB1B_cathodeclub_neutron-worldVOL.gdml	04290a8f5aad8df0f9957cd5509662f7d4330933a8baa3fef5270c438c1ce8e5	No repository licence found; reference/view only
rich	desdemonda/cbmroot	85a28a6afd4def24ec7472c0f0cfc26a349b6e25	geometry/rich/rich_v13c.gdml	https://raw.githubusercontent.com/desdemonda/cbmroot/85a28a6afd4def24ec7472c0f0cfc26a349b6e25/geometry/rich/rich_v13c.gdml	5cf1b1da1e5be12b8c2c72971cd8b87692966414fec0d325149c31fd914e018e	LGPL-2.1
bdsim	bdsim-collaboration/bdsim	b28bf3379b31e7126da49ee618f140811103ecc3	examples/model-model/bdsim/singlepass/bmm-sp-geometry.gdml	https://raw.githubusercontent.com/bdsim-collaboration/bdsim/b28bf3379b31e7126da49ee618f140811103ecc3/examples/model-model/bdsim/singlepass/bmm-sp-geometry.gdml	ed22e1837570d2bb59e1e6a6a1968fdec29657db761ff1c553f47fca0a6876a9	GPL-3.0
hpge	solidharr871013/HPGe-simulation	0fadf75b344592f954dc5e6c2b2bc135118fd48c	HPGe-source15cm.gdml	https://raw.githubusercontent.com/solidharr871013/HPGe-simulation/0fadf75b344592f954dc5e6c2b2bc135118fd48c/HPGe-source15cm.gdml	a4bb55f380024dbbcd7de386a8b647f5e7e3b05890bacddff8b5a0816246eede	No repository licence found; reference/view only
