name	upstream	ref	upstream_path	local_path	local_sha256	license	note
orion	https://geant4-data.web.cern.ch/datasets/examples/advanced/gorad/orion.gdml	2026-07-26	orion.gdml	orion.gdml	27d5f01c1393911309e69b65fe601f0ab9cf5e5e43b04bbb585f2e47783d425a	Geant4-Software-License-1.0	copied from the official Geant4 advanced-example dataset
hirax	https://github.com/aditikatoch/HIRAX_Radiation_Model.git	6c9e38c71259acca6c093847c0abd964ab536e53	geometry/geometry_hirax.gdml	geometry_hirax.gdml	b8014e648007113d9aabb86151638fc7d028e5cfc74ec998a3410ccef118a624	MIT	copied standalone; schema validation disabled because the upstream XSD hint is local
sixs	https://github.com/spearhead-he/G4VM.git	ef99820da246495c3acdd6602f84aff389befe56	SIXS/SIXS_v3.gdml	sixs.gdml	69e3dc07565fe783f2af866f947853f097798e631da58556fdb5f7a0738e550a	BSD-3-Clause	copied
het	https://github.com/spearhead-he/G4VM.git	ef99820da246495c3acdd6602f84aff389befe56	HET/HET_shield.gdml	het.gdml	971cb5a5c679ac8cb3b1c6b2ac1a99ea04ebbfe2e9da6f7171ddf424f784c7ee	BSD-3-Clause	external XML entities inlined
ephin-soho	https://github.com/spearhead-he/G4VM.git	ef99820da246495c3acdd6602f84aff389befe56	EPHIN/ephin_soho_shield.gdml	ephin-soho.gdml	7497dd0c191d13923435ea91c6cfc7d539c0ff7af518351bdb4eb8ac59d6e3fc	BSD-3-Clause	external XML entities inlined
ephin-chandra	https://github.com/spearhead-he/G4VM.git	ef99820da246495c3acdd6602f84aff389befe56	EPHIN/ephin_chandra_shield.gdml	ephin-chandra.gdml	2fced23f1abadbd593dab68786651637496941e14bd4a50d4341d9537b555450	BSD-3-Clause	external XML entities inlined
erne	https://github.com/spearhead-he/G4VM.git	ef99820da246495c3acdd6602f84aff389befe56	ERNE/ERNE.zip:ERNE.gdml	erne.gdml	e4c4519ac6e576548748876689098fd433d1f976c6a962ac7c9bdab65e9c679e	BSD-3-Clause	extracted
ket	https://github.com/spearhead-he/G4VM.git	ef99820da246495c3acdd6602f84aff389befe56	KET/ket.gdml	ket.gdml	234a801b7cae91c8a7aaff3b4192bcfe69374a6f7f51afcbb8e605913b0114da	BSD-3-Clause	external XML entities inlined
ldmx-v15	https://github.com/LDMX-Software/ldmx-sw.git	968fbcec00281104c870fc20c8c8443143fbc193	Detectors/data/ldmx-det-v15-8gev/detector.gdml	ldmx-v15/detector.gdml	00a3986ead8dc120b3c92b5dbad60b7d523bf645127a05f708a4202a114c2e13	GPL-3.0	main-file XML entities inlined; only referenced GDML companions retained
mugast	https://github.com/malabi/gdml-files.git	896078961e110e51151409fd0581ab99c6c61d6a	MuGasT/MuGasT_faster.gdml	mugast.gdml	7c58b0c493f313a0cf838eb1dc8551f72c31f313eb9fa692662b7517b8f542f2	NOASSERTION	external material entity inlined; upstream publishes no licence
